"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",2818,"the-netherlands","north-holland","amsterdam","2020-09-09","Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Private room in apartment","Private room",2,"1",2,"$59.00",3,1125,98,29,59,59
"2",20168,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.36509,4.89354,"Private room in townhouse","Private room",2,"1",1,"$216.00",1,365,89,0,224.666666666667,6740
"3",25428,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",3,"1",1,"$125.00",14,180,100,0,125,3750
"4",27886,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.38761,4.89188,"Private room in houseboat","Private room",2,"1",1,"$141.00",2,730,99,24,138.333333333333,830
"5",28871,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.36719,4.89092,"Private room in apartment","Private room",2,"1",1,"$75.00",2,1825,97,23,75,525
"6",29051,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.36773,4.89151,"Private room in apartment","Private room",1,"1",1,"$55.00",2,730,95,30,NA,0
"7",31080,"the-netherlands","north-holland","amsterdam","2020-09-09","Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",4,"3",3,"$219.00",3,365,95,0,219,6570
"8",41125,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",3,"1",1,"$160.00",4,35,96,0,160,4800
"9",43109,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",4,"2",4,"$211.00",3,30,98,27,211,633
"10",43980,"the-netherlands","north-holland","amsterdam","2020-09-09","Zuid",52.35746,4.86124,"Entire apartment","Entire home/apt",2,"1",2,"$79.00",30,365,80,25,79,395
"11",44129,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.38071,4.8861,"Entire apartment","Entire home/apt",3,"1",1,"$320.00",7,1125,98,8,321.727272727273,7078
"12",46386,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",2,"1",1,"$150.00",3,1825,93,0,150,4500
"13",47061,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36799,4.87447,"Entire apartment","Entire home/apt",3,"2",2,"$140.00",2,60,96,4,140,3640
"14",49552,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.38028,4.89089,"Entire guest suite","Entire home/apt",3,"2",2,"$165.71",2,1124,98,29,160,160
"15",49790,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36266,4.86103,"Boat","Entire home/apt",4,"2",2,"$250.00",3,365,99,30,NA,0
"16",50515,"the-netherlands","north-holland","amsterdam","2020-09-09","Bos en Lommer",52.37727,4.83925,"Entire townhouse","Entire home/apt",6,"3",3,"$115.00",4,15,95,0,115,3450
"17",50518,"the-netherlands","north-holland","amsterdam","2020-09-09","Westerpark",52.38201,4.87865,"Entire apartment","Entire home/apt",2,"1",1,"$120.00",2,1120,96,17,120,1560
"18",50523,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.36841,4.88413,"Private room in bed and breakfast","Private room",2,"1",1,"$86.00",2,365,97,27,109,327
"19",52490,"the-netherlands","north-holland","amsterdam","2020-09-09","Oostelijk Havengebied - Indische Buurt",52.37005,4.93869,"Private room in apartment","Private room",2,"1",1,"$75.00",2,20,92,21,75,675
"20",53067,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35339,4.90064,"Private room in guesthouse","Private room",2,"1",0,"$45.00",7,150,93,1,45.0344827586207,1306
"21",53671,"the-netherlands","north-holland","amsterdam","2020-09-09","Westerpark",52.38905,4.88559,"Private room in guest suite","Private room",2,"1",1,"$100.00",3,14,91,13,100,1700
"22",55256,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.37126,4.90351,"Private room in apartment","Private room",2,"1",1,"$90.00",1,365,92,0,90.0333333333333,2701
"23",55621,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35386,4.89772,"Entire apartment","Entire home/apt",4,"2",2,"$222.00",3,24,95,0,222,6660
"24",55709,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.35896,4.89726,"Entire loft","Entire home/apt",3,"1",1,"$229.00",4,30,99,6,191.083333333333,4586
"25",55807,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36966,4.86203,"Private room in apartment","Private room",2,"1",1,"$65.00",2,7,97,0,65,1950
"26",55868,"the-netherlands","north-holland","amsterdam","2020-09-09","Zuid",52.35613,4.88515,"Entire apartment","Entire home/apt",4,"2",2,"$149.00",4,21,97,0,149,4470
"27",58211,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.36916,4.88445,"Private room in townhouse","Private room",4,"2",2,"$155.00",3,365,98,23,155,1085
"28",62015,"the-netherlands","north-holland","amsterdam","2020-09-09","Oud-Oost",52.36445,4.93124,"Entire apartment","Entire home/apt",2,"1",1,"$125.00",3,7,98,17,121.538461538462,1580
"29",62801,"the-netherlands","north-holland","amsterdam","2020-09-09","Bos en Lommer",52.38459,4.85463,"Entire apartment","Entire home/apt",4,"2",1,"$750.00",30,30,NA,30,NA,0
"30",64736,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36348,4.86783,"Houseboat","Entire home/apt",2,"1",1,"$189.00",3,30,98,0,189,5670
"31",64769,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.36225,4.902,"Entire townhouse","Entire home/apt",4,"3",6,"$450.00",4,1125,97,0,450,13500
"32",67841,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35472,4.89324,"Entire apartment","Entire home/apt",2,"1",1,"$105.71",2,30,94,0,105.333333333333,3160
"33",68290,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.36887,4.89523,"Private room in apartment","Private room",2,"1",2,"$158.00",3,30,96,0,157.266666666667,4718
"34",68873,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.3695,4.89556,"Private room in apartment","Private room",2,"1",1,"$98.00",3,30,96,0,98.2,2946
"35",69042,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37353,4.87691,"Room in bed and breakfast","Hotel room",2,"1",1,"$162.00",3,365,91,0,163.033333333333,4891
"36",70598,"the-netherlands","north-holland","amsterdam","2020-09-09","Noord-West",52.41433,4.92014,"Private room in house","Private room",2,"1",1,"$40.00",1,15,95,29,40,40
"37",73208,"the-netherlands","north-holland","amsterdam","2020-09-09","Zuid",52.35935,4.87672,"Entire apartment","Entire home/apt",4,"2",0,"$220.00",5,1125,99,0,220,6600
"38",75382,"the-netherlands","north-holland","amsterdam","2020-09-09","Oud-Oost",52.36482,4.92762,"Private room in apartment","Private room",3,"1",2,"$105.00",3,90,95,0,105,3150
"39",75444,"the-netherlands","north-holland","amsterdam","2020-09-09","Oud-Oost",52.36551,4.92848,"Private room in apartment","Private room",2,"1",1,"$70.00",3,100,94,0,70,2100
"40",75499,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36145,4.87696,"Private room in apartment","Private room",2,"1",1,"$115.00",4,30,99,15,115,1725
"41",76459,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36342,4.87558,"Private room in townhouse","Private room",2,"1",2,"$115.00",4,31,97,21,115,1035
"42",76668,"the-netherlands","north-holland","amsterdam","2020-09-09","Westerpark",52.38934,4.89089,"Room in bed and breakfast","Hotel room",4,"2",2,"$165.00",3,90,97,0,165,4950
"43",80635,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37876,4.89264,"Private room in townhouse","Private room",1,"1",1,"$109.00",2,1125,95,0,109,3270
"44",82482,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37026,4.88003,"Entire guesthouse","Entire home/apt",4,NA,2,"$121.00",2,28,89,20,119,1190
"45",82748,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-West",52.37307,4.89343,"Entire apartment","Entire home/apt",4,"1",2,"$249.00",3,365,96,29,249,249
"46",83814,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35632,4.88921,"Entire apartment","Entire home/apt",2,NA,1,"$85.00",2,7,94,21,102,918
"47",84057,"the-netherlands","north-holland","amsterdam","2020-09-09","De Baarsjes - Oud-West",52.36521,4.85136,"Room in bed and breakfast","Hotel room",2,"1",1,"$127.00",3,60,95,27,126.666666666667,380
"48",91535,"the-netherlands","north-holland","amsterdam","2020-09-09","De Pijp - Rivierenbuurt",52.35774,4.89647,"Private room in boat","Private room",2,"1",1,"$95.00",1,18,95,0,95,2850
"49",96048,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.3727,4.90776,"Private room in bed and breakfast","Private room",2,"1",2,"$107.00",1,365,86,19,132.545454545455,1458
"50",97221,"the-netherlands","north-holland","amsterdam","2020-09-09","Slotervaart",52.3491,4.83611,"Private room in bed and breakfast","Private room",2,"1",2,"$70.00",2,8,91,27,65,195
"51",107195,"the-netherlands","north-holland","amsterdam","2020-09-09","Centrum-Oost",52.37007,4.9196,"Entire apartment","Entire home/apt",2,"1",1,"$150.00",2,365,95,0,150,4500
