"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",2015,"germany","be","berlin","2020-06-13","Brunnenstr. Süd",52.53454,13.40256,"Guesthouse","Entire home/apt",3,"1",0,"$60.00",4,1125,93,30,NA,0
"2",3176,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.535,13.41758,"Apartment","Entire home/apt",4,"1",2,"$90.00",62,1125,93,30,NA,0
"3",3309,"germany","be","berlin","2020-06-13","Schöneberg-Nord",52.49885,13.34906,"Apartment","Private room",1,"1",1,"$28.00",7,35,89,29,28,28
"4",7071,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54316,13.41509,"Apartment","Private room",2,"1",2,"$33.00",1,10,97,0,40,1200
"5",9991,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.53303,13.41605,"Apartment","Entire home/apt",7,"4",7,"$180.00",6,14,100,10,183,3660
"6",14325,"germany","be","berlin","2020-06-13","Prenzlauer Berg Nordwest",52.54785,13.40556,"Apartment","Entire home/apt",1,"0",1,"$70.00",90,1125,93,28,70,140
"7",16644,"germany","be","berlin","2020-06-13","nördliche Luisenstadt",52.50479,13.4351,"Apartment","Entire home/apt",5,"1",3,"$90.00",60,365,94,0,90,2700
"8",17904,"germany","be","berlin","2020-06-13","Reuterstraße",52.49548,13.42182,"Apartment","Entire home/apt",2,"0",0,"$49.00",5,90,96,4,44.5,1157
"9",20858,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.53695,13.40762,"Loft","Entire home/apt",4,"2",2,"$129.00",3,30,89,29,159,159
"10",21869,"germany","be","berlin","2020-06-13","nördliche Luisenstadt",52.50273,13.43462,"Apartment","Entire home/apt",4,"1",2,"$70.00",60,365,95,0,70,2100
"11",22415,"germany","be","berlin","2020-06-13","südliche Luisenstadt",52.49485,13.4285,"Apartment","Entire home/apt",4,"2",2,"$98.00",3,30,95,13,50,850
"12",22677,"germany","be","berlin","2020-06-13","Brunnenstr. Süd",52.53435,13.40558,"Apartment","Entire home/apt",5,"1",4,"$160.00",2,24,95,30,NA,0
"13",23834,"germany","be","berlin","2020-06-13","Tempelhofer Vorstadt",52.48971,13.37975,"Condominium","Entire home/apt",4,"1",3,"$65.00",185,360,90,0,65,1950
"14",24569,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.53079,13.41808,"Apartment","Entire home/apt",4,"2",2,"$90.00",4,21,94,2,110,3080
"15",25653,"germany","be","berlin","2020-06-13","Prenzlauer Berg Süd",52.53026,13.41947,"Apartment","Entire home/apt",4,"2",2,"$90.00",4,21,100,0,90,2700
"16",26543,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54406,13.42138,"Apartment","Entire home/apt",8,"2",4,"$199.00",3,1125,92,30,NA,0
"17",28156,"germany","be","berlin","2020-06-13","Prenzlauer Berg Nordwest",52.54672,13.40512,"Apartment","Entire home/apt",1,"0",1,"$70.00",90,1125,93,28,70,140
"18",29279,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54179,13.42388,"Apartment","Entire home/apt",4,"2",3,"$65.00",60,180,96,0,65,1950
"19",30295,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54597,13.42236,"Apartment","Entire home/apt",8,"2",4,"$100.00",4,365,95,3,105.185185185185,2840
"20",31440,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54309,13.42245,"Apartment","Private room",1,"1",0,"$37.00",1,14,92,29,37,37
"21",33043,"germany","be","berlin","2020-06-13","Moabit Ost",52.52195,13.3559,"Apartment","Entire home/apt",4,"1",2,"$62.00",3,1125,90,29,75,75
"22",35152,"germany","be","berlin","2020-06-13","Brunnenstr. Süd",52.53506,13.39699,"Loft","Private room",2,"1",1,"$75.00",2,28,99,0,75,2250
"23",36480,"germany","be","berlin","2020-06-13","Otto-Suhr-Allee",52.51968,13.30209,"Apartment","Private room",1,"1",1,"$40.00",1,21,90,30,NA,0
"24",37836,"germany","be","berlin","2020-06-13","südliche Luisenstadt",52.49847,13.44013,"Apartment","Private room",3,"1",1,"$39.00",1,21,90,30,NA,0
"25",38074,"germany","be","berlin","2020-06-13","Prenzlauer Berg Süd",52.53713,13.42473,"Apartment","Entire home/apt",2,"1",1,"$84.00",84,1125,89,1,84,2436
"26",38296,"germany","be","berlin","2020-06-13","Schillerpromenade",52.48586,13.42362,"Apartment","Entire home/apt",2,"1",2,"$80.00",10,30,87,14,80,1280
"27",40600,"germany","be","berlin","2020-06-13","Tempelhofer Vorstadt",52.48844,13.4206,"Loft","Private room",2,"1",1,"$50.00",3,14,97,0,52.6666666666667,1580
"28",41217,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.53641,13.41231,"Apartment","Private room",2,"1",1,"$43.00",2,7,94,0,43,1290
"29",41306,"germany","be","berlin","2020-06-13","Prenzlauer Berg Süd",52.53028,13.42348,"Apartment","Private room",2,"1",1,"$40.00",1,7,80,0,49,1470
"30",42742,"germany","be","berlin","2020-06-13","südliche Luisenstadt",52.49667,13.44034,"Apartment","Private room",3,"1",1,"$36.00",3,730,89,0,36.8,1104
"31",42809,"germany","be","berlin","2020-06-13","Frankfurter Allee Süd FK",52.51099,13.45642,"Apartment","Entire home/apt",4,"2",2,"$119.00",4,365,98,30,NA,0
"32",44083,"germany","be","berlin","2020-06-13","Alt  Treptow",52.4904,13.44085,"Apartment","Private room",2,"1",0,"$42.00",2,7,88,20,42,420
"33",44423,"germany","be","berlin","2020-06-13","Frankfurter Allee Süd FK",52.50888,13.45636,"Apartment","Private room",2,"1",1,"$56.00",82,100,97,0,56,1680
"34",47938,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.53219,13.41988,"Apartment","Entire home/apt",6,"2",3,"$169.00",5,23,100,0,169,5070
"35",54952,"germany","be","berlin","2020-06-13","Alexanderplatz",52.52264,13.3881,"Apartment","Private room",2,"1",2,"$47.00",4,30,93,29,45,45
"36",55853,"germany","be","berlin","2020-06-13","Neue Kantstraße",52.5034,13.29203,"Apartment","Entire home/apt",2,"1",2,"$55.00",60,365,96,0,57.6666666666667,1730
"37",56357,"germany","be","berlin","2020-06-13","Helmholtzplatz",52.54251,13.41718,"Apartment","Private room",2,"1",2,"$33.00",1,10,96,14,40,640
"38",57049,"germany","be","berlin","2020-06-13","Prenzlauer Berg Nordwest",52.54787,13.40417,"Apartment","Entire home/apt",4,"2",3,"$230.00",3,15,98,28,230,460
"39",57209,"germany","be","berlin","2020-06-13","Brunnenstr. Süd",52.53683,13.39897,"Apartment","Entire home/apt",5,"2",4,"$80.00",2,360,92,0,81.3333333333333,2440
"40",58780,"germany","be","berlin","2020-06-13","Prenzlauer Berg Süd",52.5342,13.42671,"Apartment","Entire home/apt",4,"3",3,"$120.00",5,150,96,13,134.117647058824,2280
"41",62613,"germany","be","berlin","2020-06-13","südliche Luisenstadt",52.49729,13.42297,"Apartment","Entire home/apt",2,"1",1,"$85.00",5,21,91,30,NA,0
"42",63052,"germany","be","berlin","2020-06-13","Neuköllner Mitte/Zentrum",52.46892,13.43454,"Apartment","Private room",3,"1",1,"$37.00",22,90,92,29,40,40
"43",64014,"germany","be","berlin","2020-06-13","Brunnenstr. Süd",52.53907,13.4036,"Apartment","Entire home/apt",4,"2",3,"$150.00",2,365,91,29,150,150
"44",64245,"germany","be","berlin","2020-06-13","Prenzlauer Berg Nordwest",52.5465,13.40633,"Apartment","Private room",4,"1",2,"$55.00",3,31,99,24,55,330
"45",64590,"germany","be","berlin","2020-06-13","südliche Luisenstadt",52.49497,13.42399,"Apartment","Entire home/apt",4,"2",2,"$118.00",2,365,100,0,118,3540
"46",68142,"germany","be","berlin","2020-06-13","Frankfurter Allee Nord",52.52489,13.45386,"Apartment","Private room",2,"1",2,"$29.00",2,30,96,21,29,261
"47",68448,"germany","be","berlin","2020-06-13","Prenzlauer Berg Nord",52.5498,13.41596,"Apartment","Entire home/apt",4,"0",2,"$84.00",3,200,91,29,50,50
"48",72079,"germany","be","berlin","2020-06-13","Kantstraße",52.5078,13.31871,"Apartment","Entire home/apt",2,"1",1,"$80.00",3,360,94,30,NA,0
"49",73302,"germany","be","berlin","2020-06-13","Schöneberg-Nord",52.50105,13.35032,"Apartment","Entire home/apt",2,"1",2,"$70.00",4,150,96,0,69.3,2079
"50",74614,"germany","be","berlin","2020-06-13","Prenzlauer Berg Südwest",52.5377,13.40854,"Apartment","Entire home/apt",6,"3",4,"$185.00",2,360,81,30,NA,0
