"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",42196,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.48507,11.34786,"Entire apartment","Entire home/apt",2,"1",1,"$68.00",3,360,93,0,68,2040
"2",46352,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49168,11.33514,"Private room in apartment","Private room",3,"1",3,"$35.29",1,730,92,30,NA,0
"3",59697,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.48817,11.34124,"Entire apartment","Entire home/apt",6,"3",6,"$70.00",1,120,92,28,70,140
"4",70366,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49699,11.32206,"Entire house","Entire home/apt",2,"1",2,"$63.00",1,730,90,29,63,63
"5",72628,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49088,11.3384,"Entire apartment","Entire home/apt",4,"1",3,"$152.00",1,150,94,0,144.5,4335
"6",85368,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.47834,11.35672,"Entire apartment","Entire home/apt",5,"2",5,"$130.00",2,1125,98,0,130,3900
"7",130642,"italy","emilia-romagna","bologna","2020-08-31","Savena",44.46817,11.39,"Private room in apartment","Private room",2,"1",1,"$45.00",2,30,96,30,NA,0
"8",145779,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49306,11.33786,"Private room in apartment","Private room",1,"1",1,"$35.00",3,365,97,30,NA,0
"9",168963,"italy","emilia-romagna","bologna","2020-08-31","Navile",44.5209,11.31697,"Entire apartment","Entire home/apt",2,"1",2,"$36.00",3,1125,93,4,36.5384615384615,950
"10",184665,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.50189,11.35031,"Private room in apartment","Private room",5,"1",5,"$32.00",1,365,87,30,NA,0
"11",204553,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49105,11.33982,"Private room in apartment","Private room",1,"1",2,"$46.00",2,15,98,29,46,46
"12",207245,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49254,11.34009,"Entire apartment","Entire home/apt",6,"3",6,"$114.00",3,60,96,0,113,3390
"13",209692,"italy","emilia-romagna","bologna","2020-08-31","Navile",44.51628,11.33074,"Private room in apartment","Private room",1,"1",1,"$25.00",1,90,94,0,25,750
"14",214615,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.50172,11.35047,"Private room in apartment","Private room",5,"1",3,"$32.00",1,760,85,30,NA,0
"15",219878,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.48787,11.35392,"Entire apartment","Entire home/apt",2,"1",2,"$81.00",3,150,97,10,80.8,1616
"16",229114,"italy","emilia-romagna","bologna","2020-08-31","Navile",44.51072,11.34957,"Entire apartment","Entire home/apt",4,"2",4,"$64.00",3,30,97,25,64,320
"17",233922,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49589,11.32976,"Entire apartment","Entire home/apt",5,"2",4,"$80.00",4,60,85,0,80,2400
"18",245295,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.4868,11.31471,"Entire house","Entire home/apt",3,"1",1,"$79.00",3,1125,94,29,74,74
"19",246747,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49702,11.34291,"Private room in apartment","Private room",2,"1",2,"$68.00",2,15,99,29,68,68
"20",252657,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.50035,11.35147,"Private room in condominium","Private room",3,"1",2,"$32.00",1,365,93,29,32,32
"21",253252,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.50164,11.35185,"Private room in apartment","Private room",1,"1",NA,"$32.00",1,760,NA,29,32,32
"22",266777,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49487,11.33241,"Entire apartment","Entire home/apt",4,"1",1,"$75.00",3,1125,97,13,75,1275
"23",273713,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49517,11.33964,"Private room in apartment","Private room",2,"1",2,"$60.00",2,4,97,28,60,120
"24",286691,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.47361,11.36977,"Private room in condominium","Private room",1,"1",0,"$56.00",1,365,86,30,NA,0
"25",293536,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.49439,11.35371,"Entire apartment","Entire home/apt",5,"3",3,"$130.00",7,120,95,30,NA,0
"26",306910,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.49555,11.3443,"Entire apartment","Entire home/apt",4,"1",1,"$80.00",3,180,99,22,102.5,820
"27",359045,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.49512,11.35045,"Entire apartment","Entire home/apt",3,"1",1,"$55.00",7,1125,93,2,55,1540
"28",359082,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.49687,11.35013,"Private room in apartment","Private room",1,"1",NA,"$55.00",7,1125,100,0,55,1650
"29",372605,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.47733,11.34821,"Tiny house","Entire home/apt",3,"1",2,"$55.00",2,90,94,0,55,1650
"30",373095,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49745,11.33025,"Entire apartment","Entire home/apt",4,"1",3,"$69.00",2,1125,94,30,NA,0
"31",374090,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49548,11.33022,"Entire apartment","Entire home/apt",4,"1",1,"$150.00",2,30,96,14,175,2800
"32",374610,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.49128,11.35617,"Entire apartment","Entire home/apt",2,"1",1,"$43.00",2,90,89,30,NA,0
"33",376826,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49564,11.33601,"Entire apartment","Entire home/apt",4,"1",2,"$90.00",2,365,97,29,90,90
"34",383256,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.50103,11.34218,"Entire loft","Entire home/apt",5,"1",2,"$271.00",2,90,92,0,186.266666666667,5588
"35",411523,"italy","emilia-romagna","bologna","2020-08-31","Santo Stefano",44.4931,11.35442,"Entire apartment","Entire home/apt",2,"1",2,"$70.00",3,365,97,0,70,2100
"36",434796,"italy","emilia-romagna","bologna","2020-08-31","San Donato - San Vitale",44.52134,11.38173,"Private room in house","Private room",1,"1",1,"$100.00",2,1125,93,30,NA,0
"37",447120,"italy","emilia-romagna","bologna","2020-08-31","Savena",44.46936,11.38413,"Private room in apartment","Private room",2,"1",1,"$49.00",1,14,89,30,NA,0
"38",496906,"italy","emilia-romagna","bologna","2020-08-31","Porto - Saragozza",44.49032,11.33749,"Entire apartment","Entire home/apt",2,"1",1,"$67.00",2,180,70,29,50,50
"39",510771,"italy","emilia-romagna","bologna","2020-08-31","Borgo Panigale - Reno",44.49596,11.2911,"Private room in condominium","Private room",2,"1",0,"$100.00",1,7,94,0,100,3000
