"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",24469,"italy","toscana","florence","2020-06-19","Centro Storico",43.78308,11.24418,"Apartment","Entire home/apt",4,"1",1,"$80.00",2,365,100,29,70,70
"2",24470,"italy","toscana","florence","2020-06-19","Centro Storico",43.78287,11.24431,"Apartment","Entire home/apt",3,"1",1,"$75.00",2,365,93,29,70,70
"3",24471,"italy","toscana","florence","2020-06-19","Centro Storico",43.78292,11.2446,"Apartment","Entire home/apt",6,"2",2,"$135.00",2,365,NA,28,135,270
"4",24472,"italy","toscana","florence","2020-06-19","Centro Storico",43.7815,11.24507,"Apartment","Entire home/apt",6,"2",2,"$120.00",2,365,60,29,120,120
"5",24807,"italy","toscana","florence","2020-06-19","Campo di Marte",43.77813,11.29202,"Apartment","Entire home/apt",6,"3",5,"$51.00",2,365,96,25,68,340
"6",29982,"italy","toscana","florence","2020-06-19","Centro Storico",43.77348,11.2545,"Apartment","Entire home/apt",5,"2",5,"$200.00",7,180,99,29,150,150
"7",31840,"italy","toscana","florence","2020-06-19","Centro Storico",43.77709,11.25216,"Serviced apartment","Private room",2,"1",1,"$70.00",1,99,93,29,39,39
"8",32120,"italy","toscana","florence","2020-06-19","Gavinana Galluzzo",43.76352,11.27726,"Apartment","Entire home/apt",2,"1",1,"$75.00",1,5,100,18,75,900
"9",32180,"italy","toscana","florence","2020-06-19","Centro Storico",43.76964,11.2436,"Apartment","Entire home/apt",4,"2",4,"$89.00",3,60,95,28,89,178
"10",32395,"italy","toscana","florence","2020-06-19","Centro Storico",43.76158,11.24188,"Bed and breakfast","Hotel room",2,"1",1,"$80.00",1,1125,97,30,NA,0
"11",39115,"italy","toscana","florence","2020-06-19","Centro Storico",43.77525,11.25258,"House","Private room",2,"1",2,"$65.00",2,365,90,30,NA,0
"12",39165,"italy","toscana","florence","2020-06-19","Centro Storico",43.77525,11.25258,"House","Private room",2,"1",2,"$85.00",2,365,84,30,NA,0
"13",39821,"italy","toscana","florence","2020-06-19","Centro Storico",43.76853,11.24395,"Apartment","Entire home/apt",3,"0",1,"$63.00",3,365,91,19,64.6363636363636,711
"14",39822,"italy","toscana","florence","2020-06-19","Centro Storico",43.76865,11.24426,"Apartment","Entire home/apt",4,"2",2,"$75.00",4,1124,86,23,60,420
"15",42997,"italy","toscana","florence","2020-06-19","Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",2,"1",1,"$113.00",3,1125,60,29,127,127
"16",43365,"italy","toscana","florence","2020-06-19","Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",3,"1",2,"$95.00",3,1125,80,0,147.8,4434
"17",43369,"italy","toscana","florence","2020-06-19","Centro Storico",43.76944,11.26331,"Apartment","Entire home/apt",2,"1",1,"$90.00",3,1125,97,19,138.545454545455,1524
