"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",77327,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Noord",51.03694,3.72968,"Loft","Entire home/apt",4,"0",4,"$89.00",2,730,82,27,89,267
"2",137110,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05785,3.71192,"Townhouse","Private room",4,"2",2,"$50.00",1,730,84,12,50,900
"3",185483,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.05213,3.74049,"Apartment","Entire home/apt",2,"1",1,"$45.00",6,1125,80,30,NA,0
"4",187870,"belgium","vlg","ghent","2020-05-24","Watersportbaan - Ekkergem",51.05168,3.70283,"Apartment","Entire home/apt",2,"1",1,"$55.00",2,90,97,30,NA,0
"5",191534,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.05213,3.74049,"Apartment","Entire home/apt",2,"0",1,"$45.00",6,1125,85,30,NA,0
"6",203806,"belgium","vlg","ghent","2020-05-24","Watersportbaan - Ekkergem",51.04428,3.71395,"Apartment","Entire home/apt",2,"1",2,"$69.00",2,1125,92,14,69,1104
"7",204245,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05842,3.72721,"Apartment","Entire home/apt",2,"1",1,"$90.00",1,14,96,19,91.8181818181818,1010
"8",216715,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05756,3.7318,"Loft","Entire home/apt",4,"1",3,"$70.00",2,365,95,19,70,770
"9",252269,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05216,3.71993,"Townhouse","Entire home/apt",8,"4",8,"$215.00",2,120,98,30,NA,0
"10",263229,"belgium","vlg","ghent","2020-05-24","Watersportbaan - Ekkergem",51.05217,3.70358,"House","Entire home/apt",4,"2",2,"$180.00",2,30,93,30,NA,0
"11",392245,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Zuid",51.02971,3.71369,"Apartment","Private room",1,"1",1,"$32.00",3,160,96,29,37,37
"12",432857,"belgium","vlg","ghent","2020-05-24","Sint Denijs Westrem",51.03113,3.68348,"Boat","Private room",2,"1",1,"$299.00",1,1125,100,30,NA,0
"13",599325,"belgium","vlg","ghent","2020-05-24","Ledeberg",51.03454,3.74631,"House","Private room",2,"1",1,"$30.00",2,1125,91,9,31.4285714285714,660
"14",696209,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05021,3.71624,"Apartment","Entire home/apt",2,"0",1,"$75.00",6,200,98,0,81.6666666666667,2450
"15",743981,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05021,3.71624,"Apartment","Entire home/apt",2,"0",1,"$75.00",6,200,96,0,81.6666666666667,2450
"16",769351,"belgium","vlg","ghent","2020-05-24","Mariakerke",51.07862,3.69008,"House","Entire home/apt",4,"3",3,"$80.00",1,90,92,0,80,2400
"17",778353,"belgium","vlg","ghent","2020-05-24","Oud Gentbrugge",51.04177,3.74516,"Townhouse","Private room",2,"1",1,"$24.00",2,60,79,13,39,663
"18",782514,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.06837,3.77456,"Apartment","Entire home/apt",2,"1",1,"$120.00",3,60,98,28,120,240
"19",835795,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05343,3.73002,"Loft","Entire home/apt",4,"1",2,"$100.00",2,1125,95,14,47.1875,755
"20",845854,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.0543,3.73527,"Apartment","Entire home/apt",4,"1",1,"$85.00",4,30,97,0,85,2550
"21",878177,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05153,3.71807,"Bed and breakfast","Private room",2,"1",1,"$55.00",2,1125,100,0,55,1650
"22",879417,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.0578,3.72622,"Apartment","Entire home/apt",5,"2",3,"$155.00",2,21,98,19,155,1705
"23",924683,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05353,3.71675,"Apartment","Entire home/apt",2,"1",1,"$58.00",2,365,98,7,63.6086956521739,1463
"24",944573,"belgium","vlg","ghent","2020-05-24","Bloemekenswijk",51.07052,3.70806,"House","Entire home/apt",4,"2",2,"$120.00",2,60,85,30,NA,0
"25",950284,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.06266,3.73218,"Tiny house","Private room",2,"1",1,"$135.00",2,5,100,0,135,4050
"26",1018048,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.0591,3.7193,"Apartment","Entire home/apt",3,"1",4,"$44.00",1,90,96,3,33.6296296296296,908
"27",1098409,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05192,3.72792,"House","Private room",2,"1",1,"$40.00",2,1124,87,14,40,640
"28",1102289,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Zuid",51.0325,3.7152,"Apartment","Entire home/apt",2,"1",1,"$92.00",2,12,93,22,93.5,748
"29",1121033,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05661,3.71914,"Townhouse","Private room",3,"2",2,"$60.00",2,1125,87,30,NA,0
"30",1135017,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05683,3.71639,"Condominium","Entire home/apt",6,"2",5,"$75.00",2,1125,96,30,NA,0
"31",1141163,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.04531,3.73526,"Apartment","Entire home/apt",4,"1",1,"$85.00",2,45,95,17,88.0769230769231,1145
"32",1159353,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Noord",51.03702,3.73016,"Apartment","Entire home/apt",4,"1",2,"$70.00",4,1125,90,0,74,2220
"33",1188974,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05109,3.7257,"House","Private room",2,"1",1,"$40.00",2,1124,87,28,40,80
"34",1222069,"belgium","vlg","ghent","2020-05-24","Watersportbaan - Ekkergem",51.05087,3.70436,"Bed and breakfast","Private room",2,"1",1,"$80.00",2,1125,97,25,80,400
"35",1232605,"belgium","vlg","ghent","2020-05-24","Wondelgem",51.07422,3.7265,"Apartment","Entire home/apt",6,"1",0,"$54.00",4,1125,86,0,50,1500
"36",1271802,"belgium","vlg","ghent","2020-05-24","Nieuw Gent - UZ",51.03137,3.72882,"House","Private room",5,"2",2,"$44.00",2,100,97,22,44,352
"37",1339383,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05824,3.72243,"Apartment","Entire home/apt",2,"1",0,"$98.00",2,1125,90,27,98,294
"38",1354090,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05421,3.73203,"Apartment","Private room",2,"1",1,"$48.00",1,1125,98,0,50.6666666666667,1520
"39",1368957,"belgium","vlg","ghent","2020-05-24","Oud Gentbrugge",51.04206,3.74747,"Apartment","Private room",2,"1",1,"$39.00",1,1125,96,29,49,49
"40",1378568,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.07289,3.75223,"House","Private room",2,"1",1,"$55.00",2,21,93,9,55,1155
"41",1414369,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.0596,3.72733,"Townhouse","Entire home/apt",2,"1",1,"$99.00",3,1125,98,29,99,99
"42",1418588,"belgium","vlg","ghent","2020-05-24","Sint Denijs Westrem",51.02235,3.66854,"House","Entire home/apt",8,"4",8,"$175.00",3,14,95,0,175,5250
"43",1425838,"belgium","vlg","ghent","2020-05-24","Mariakerke",51.07391,3.69128,"Bed and breakfast","Private room",2,"1",1,"$50.00",2,1125,100,0,50,1500
"44",1455446,"belgium","vlg","ghent","2020-05-24","Oud Gentbrugge",51.0427,3.75586,"House","Entire home/apt",6,"3",3,"$150.00",3,1125,88,0,150,4500
"45",1482891,"belgium","vlg","ghent","2020-05-24","Dampoort",51.04821,3.75034,"Townhouse","Private room",2,"1",1,"$29.00",2,30,98,0,36,1080
"46",1505180,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.0665,3.7523,"Loft","Entire home/apt",4,"2",2,"$125.00",2,30,100,0,100,3000
"47",1607894,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Noord",51.03189,3.72787,"House","Private room",3,"1",2,"$54.00",2,100,94,22,56.5,452
"48",1616843,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.04787,3.71958,"Apartment","Entire home/apt",2,"1",1,"$90.00",30,1000,95,30,NA,0
"49",1627743,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05661,3.72775,"Apartment","Entire home/apt",5,"3",4,"$175.00",2,1125,89,8,192.727272727273,4240
"50",1638170,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05545,3.70902,"Apartment","Entire home/apt",3,"1",1,"$50.00",2,180,88,0,56.1666666666667,1685
"51",1670943,"belgium","vlg","ghent","2020-05-24","Muide - Meulestede - Afrikalaan",51.07376,3.7317,"House","Private room",2,"1",1,"$60.00",2,1125,82,23,61.4285714285714,430
"52",1710185,"belgium","vlg","ghent","2020-05-24","Ledeberg",51.03455,3.74213,"House","Entire home/apt",4,"2",3,"$132.00",3,1125,98,28,150,300
"53",1720808,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.05873,3.73785,"Condominium","Entire home/apt",7,"4",6,"$120.00",4,1124,96,0,120,3600
"54",1723685,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05533,3.71361,"Apartment","Entire home/apt",4,"2",2,"$65.00",3,30,97,11,65,1235
"55",1754719,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05478,3.72724,"Apartment","Entire home/apt",11,"3",11,"$340.00",2,1125,93,26,340,1360
"56",1765737,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.04984,3.7314,"Apartment","Entire home/apt",4,"2",2,"$80.00",14,1124,100,0,80,2400
"57",1790941,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05353,3.71675,"Apartment","Entire home/apt",2,"1",1,"$64.00",2,1125,98,8,65.3636363636364,1438
"58",1858310,"belgium","vlg","ghent","2020-05-24","Stationsbuurt Noord",51.04114,3.71358,"Loft","Entire home/apt",2,"1",1,"$45.00",1,4,93,30,NA,0
"59",1894366,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05534,3.72888,"Apartment","Entire home/apt",3,"1",0,"$84.00",2,1125,96,16,77,1078
"60",1981738,"belgium","vlg","ghent","2020-05-24","Oud Gentbrugge",51.04052,3.74554,"Guest suite","Entire home/apt",2,"1",1,"$55.00",2,15,95,30,NA,0
"61",2015536,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.05649,3.73722,"Apartment","Entire home/apt",2,"2",2,"$50.00",7,1125,NA,0,50,1500
"62",2031176,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05393,3.71171,"Apartment","Entire home/apt",5,"2",4,"$129.00",3,1125,94,30,NA,0
"63",2031654,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05393,3.71171,"Apartment","Entire home/apt",4,"0",3,"$110.00",3,60,90,27,116.333333333333,349
"64",2043584,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05872,3.7138,"Loft","Entire home/apt",2,"0",1,"$86.00",2,320,97,28,88,176
"65",2048007,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05393,3.71171,"Apartment","Entire home/apt",6,"2",3,"$138.00",3,1125,93,26,138,552
"66",2048223,"belgium","vlg","ghent","2020-05-24","Drongen",51.03791,3.63117,"House","Entire home/apt",6,"3",4,"$134.00",3,1125,93,30,NA,0
"67",2074988,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.07209,3.75233,"House","Entire home/apt",3,"2",2,"$110.00",2,1125,NA,0,110,3300
"68",2082353,"belgium","vlg","ghent","2020-05-24","Ledeberg",51.03921,3.74119,"Townhouse","Entire home/apt",8,"3",6,"$180.00",2,30,97,2,185,5180
"69",2125334,"belgium","vlg","ghent","2020-05-24","Brugse Poort - Rooigem",51.05762,3.70499,"Apartment","Entire home/apt",4,"1",2,"$49.00",1,365,97,0,53.6666666666667,1610
"70",2138676,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.04364,3.74016,"Apartment","Entire home/apt",4,"2",3,"$80.00",2,1124,87,29,80,80
"71",2216415,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.05421,3.73572,"Apartment","Entire home/apt",3,"1",2,"$51.00",40,180,96,29,51,51
"72",2398101,"belgium","vlg","ghent","2020-05-24","Ledeberg",51.03439,3.73389,"Apartment","Entire home/apt",4,"1",2,"$120.00",3,32,97,29,120,120
"73",2495356,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.0609,3.72541,"House","Private room",2,"1",1,"$49.00",1,14,88,30,NA,0
"74",2600085,"belgium","vlg","ghent","2020-05-24","Macharius - Heirnis",51.05111,3.73608,"Apartment","Entire home/apt",3,"1",3,"$70.00",2,1125,98,0,70,2100
"75",2604886,"belgium","vlg","ghent","2020-05-24","Mariakerke",51.07296,3.68466,"House","Entire home/apt",4,"1",2,"$70.00",7,1125,87,16,70,980
"76",2737715,"belgium","vlg","ghent","2020-05-24","Mariakerke",51.06769,3.68042,"Apartment","Private room",2,"1",1,"$120.00",2,1125,NA,13,120,2040
"77",2737739,"belgium","vlg","ghent","2020-05-24","Mariakerke",51.06858,3.681,"Apartment","Private room",2,"1",0,"$110.00",2,1125,100,15,120,1800
"78",2753095,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05884,3.71375,"Apartment","Entire home/apt",4,"0",3,"$90.00",3,1125,95,21,92.2222222222222,830
"79",2768140,"belgium","vlg","ghent","2020-05-24","Dampoort",51.05938,3.74395,"House","Entire home/apt",2,"1",1,"$70.00",2,30,93,29,70,70
"80",3062978,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05577,3.72196,"Apartment","Entire home/apt",4,"2",2,"$100.00",2,1125,96,0,100,3000
"81",3120783,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.07352,3.75701,"Bed and breakfast","Private room",4,"2",3,"$120.00",1,1125,100,2,120,3360
"82",3124062,"belgium","vlg","ghent","2020-05-24","Sint Amandsberg",51.07476,3.75701,"Bed and breakfast","Private room",3,"2",2,"$130.00",1,1125,100,0,130,3900
"83",3228359,"belgium","vlg","ghent","2020-05-24","Binnenstad",51.05533,3.72932,"Apartment","Entire home/apt",2,"1",2,"$59.00",1,1125,NA,0,59,1770
"84",3331706,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.05886,3.71374,"Apartment","Entire home/apt",4,"0",3,"$90.00",3,1125,95,25,94,470
"85",3373603,"belgium","vlg","ghent","2020-05-24","Elisabethbegijnhof - Papegaai",51.06004,3.71355,"Apartment","Entire home/apt",4,"0",3,"$85.00",3,1125,90,30,NA,0
"86",3406443,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.06337,3.72906,"Loft","Entire home/apt",5,"3",4,"$175.00",10,120,95,0,155,4650
"87",3416308,"belgium","vlg","ghent","2020-05-24","Sluizeken - Tolhuis - Ham",51.06467,3.72911,"Apartment","Private room",2,"1",1,"$75.00",30,300,89,0,75,2250
