"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",6400,"italy","lombardy","milan","2020-06-15","TIBALDI",45.44195,9.17797,"Apartment","Private room",1,"3",1,"$100.00",4,5,98,23,100,700
"2",17232,"italy","lombardy","milan","2020-06-15","BOVISA",45.50465,9.16087,"Condominium","Shared room",2,"1",2,"$24.00",2,120,89,29,80,80
"3",23986,"italy","lombardy","milan","2020-06-15","NAVIGLI",45.44991,9.17597,"Apartment","Entire home/apt",4,"1",1,"$150.00",1,730,92,28,150,300
"4",28300,"italy","lombardy","milan","2020-06-15","SARPI",45.47814,9.17294,"Condominium","Private room",2,"1",2,"$200.00",1,14,98,30,NA,0
"5",32119,"italy","lombardy","milan","2020-06-15","VIALE MONZA",45.51988,9.2231,"Apartment","Entire home/apt",4,"1",4,"$75.00",2,730,97,4,75,1950
"6",32649,"italy","lombardy","milan","2020-06-15","VIALE MONZA",45.51942,9.22615,"Apartment","Entire home/apt",4,"1",3,"$70.00",2,730,96,17,71.1538461538462,925
"7",37256,"italy","lombardy","milan","2020-06-15","GUASTALLA",45.47074,9.20578,"Apartment","Private room",1,"1",1,"$55.00",2,730,98,30,NA,0
"8",40470,"italy","lombardy","milan","2020-06-15","VIALE MONZA",45.52111,9.22727,"Apartment","Entire home/apt",4,"2",4,"$75.00",3,90,92,0,75,2250
"9",42732,"italy","lombardy","milan","2020-06-15","TICINESE",45.45664,9.17662,"Apartment","Entire home/apt",4,"2",0,"$290.00",2,30,81,27,290,870
"10",46536,"italy","lombardy","milan","2020-06-15","VIALE MONZA",45.52213,9.22693,"Apartment","Entire home/apt",5,"1",5,"$75.00",2,730,90,30,NA,0
"11",52181,"italy","lombardy","milan","2020-06-15","BAGGIO",45.46443,9.09046,"Apartment","Entire home/apt",3,"1",2,"$60.00",4,30,NA,0,60,1800
"12",55055,"italy","lombardy","milan","2020-06-15","BUENOS AIRES - VENEZIA",45.48055,9.21629,"Apartment","Entire home/apt",3,"2",1,"$145.00",3,180,100,30,NA,0
"13",59226,"italy","lombardy","milan","2020-06-15","GARIBALDI REPUBBLICA",45.48263,9.19674,"Apartment","Entire home/apt",2,"1",1,"$150.00",2,10,72,27,150,450
"14",65142,"italy","lombardy","milan","2020-06-15","CENTRALE",45.48023,9.20181,"Condominium","Entire home/apt",2,"1",1,"$71.00",25,365,85,30,NA,0
"15",69749,"italy","lombardy","milan","2020-06-15","XXII MARZO",45.46739,9.20786,"Apartment","Entire home/apt",4,"2",2,"$140.00",2,15,98,30,NA,0
"16",70591,"italy","lombardy","milan","2020-06-15","SARPI",45.48207,9.17906,"Apartment","Private room",2,"1",1,"$50.00",1,6,97,29,100,100
"17",73892,"italy","lombardy","milan","2020-06-15","BRERA",45.47015,9.19134,"Apartment","Entire home/apt",2,"1",1,"$94.00",2,60,94,29,300,300
"18",74835,"italy","lombardy","milan","2020-06-15","DUOMO",45.4689,9.17943,"Apartment","Entire home/apt",2,"1",1,"$280.00",7,16,100,0,280,8400
"19",75741,"italy","lombardy","milan","2020-06-15","BRERA",45.47179,9.18378,"Apartment","Entire home/apt",2,"1",1,"$150.00",2,60,97,0,150,4500
