"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",36720,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.13057,11.56929,"Apartment","Entire home/apt",2,"1",1,"$95.00",2,730,98,0,95,2850
"2",49309,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12456,11.55567,"Apartment","Private room",2,"2",2,"$40.00",14,180,98,1,40,1160
"3",97945,"germany","bv","munich","2020-05-24","Hadern",48.11476,11.48782,"Apartment","Entire home/apt",2,"1",1,"$80.00",2,90,97,2,80,2240
"4",114695,"germany","bv","munich","2020-05-24","Berg am Laim",48.11923,11.63726,"Apartment","Entire home/apt",5,"1",3,"$95.00",2,30,95,24,95,570
"5",127383,"germany","bv","munich","2020-05-24","Maxvorstadt",48.15198,11.56486,"Apartment","Entire home/apt",4,"1",1,"$120.00",2,14,98,0,120,3600
"6",157808,"germany","bv","munich","2020-05-24","Schwabing-West",48.16381,11.56089,"Apartment","Private room",2,"1",1,"$35.00",1,36,NA,0,35,1050
"7",159634,"germany","bv","munich","2020-05-24","Pasing-Obermenzing",48.13898,11.46612,"Apartment","Entire home/apt",3,"1",1,"$55.00",5,90,93,0,52,1560
"8",170154,"germany","bv","munich","2020-05-24","Sendling-Westpark",48.10751,11.52733,"House","Private room",4,"1",2,"$55.00",2,1125,99,19,55,605
"9",170815,"germany","bv","munich","2020-05-24","Neuhausen-Nymphenburg",48.16132,11.54154,"Apartment","Entire home/apt",2,"1",1,"$65.00",3,14,91,30,NA,0
"10",171749,"germany","bv","munich","2020-05-24","Untergiesing-Harlaching",48.10583,11.57843,"Apartment","Private room",2,"1",1,"$55.00",3,10,98,30,NA,0
"11",172672,"germany","bv","munich","2020-05-24","Schwabing-West",48.16341,11.56366,"Apartment","Private room",2,"1",1,"$54.00",1,4,97,0,56,1680
"12",172977,"germany","bv","munich","2020-05-24","Maxvorstadt",48.14816,11.55449,"Apartment","Private room",2,"1",0,"$67.00",2,30,97,15,71,1065
"13",178114,"germany","bv","munich","2020-05-24","Maxvorstadt",48.15341,11.57267,"Apartment","Entire home/apt",2,"1",1,"$59.00",3,30,95,0,63,1890
"14",179640,"germany","bv","munich","2020-05-24","Bogenhausen",48.14574,11.63908,"Condominium","Private room",1,"1",1,"$35.00",2,30,98,29,39,39
"15",183634,"germany","bv","munich","2020-05-24","Allach-Untermenzing",48.17449,11.44619,"Igloo","Shared room",16,"1",0,"$50.00",1,730,NA,30,NA,0
"16",186596,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12198,11.57644,"Apartment","Shared room",5,"1",3,"$85.00",1,1125,93,30,NA,0
"17",187359,"germany","bv","munich","2020-05-24","Neuhausen-Nymphenburg",48.15849,11.54106,"Apartment","Private room",2,"1",1,"$69.00",2,7,97,24,79,474
"18",187386,"germany","bv","munich","2020-05-24","Berg am Laim",48.12199,11.62761,"Apartment","Private room",2,"1",2,"$59.00",2,7,95,30,NA,0
"19",189551,"germany","bv","munich","2020-05-24","Schwanthalerhöhe",48.1354,11.54618,"Apartment","Entire home/apt",6,"2",4,"$120.00",7,180,96,11,120,2280
"20",189582,"germany","bv","munich","2020-05-24","Bogenhausen",48.15672,11.64901,"Apartment","Private room",1,"1",1,"$19.00",30,365,92,0,25,750
"21",189606,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12551,11.58045,"Apartment","Entire home/apt",4,"1",2,"$51.00",2,60,91,18,51,612
"22",190383,"germany","bv","munich","2020-05-24","Berg am Laim",48.12452,11.63223,"Apartment","Private room",1,"1",1,"$25.00",2,730,98,0,25,750
"23",190453,"germany","bv","munich","2020-05-24","Tudering-Riem",48.13211,11.69417,"Apartment","Entire home/apt",6,"2",3,"$200.00",3,180,96,0,200,6000
"24",190474,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Entire home/apt",8,"3",4,"$180.00",1,365,93,23,141.428571428571,990
"25",190529,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",4,"1",2,"$50.00",1,5,96,10,53,1060
"26",190564,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,"1",1,"$90.00",1,5,98,30,NA,0
"27",190565,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,"1",1,"$80.00",1,5,98,28,45,90
"28",190653,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12951,11.56103,"Apartment","Entire home/apt",2,"1",1,"$60.00",1,730,95,27,56.6666666666667,170
"29",191405,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12175,11.57879,"Apartment","Entire home/apt",2,"1",1,"$65.00",2,7,99,0,65,1950
"30",191429,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12821,11.55607,"Apartment","Private room",1,"1",1,"$32.00",140,365,93,30,NA,0
"31",191535,"germany","bv","munich","2020-05-24","Sendling",48.11468,11.53897,"Apartment","Private room",4,"1",1,"$240.00",1,14,97,0,240,7200
"32",192933,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.13012,11.56642,"Apartment","Shared room",4,"1",0,"$70.00",3,21,96,24,70,420
"33",193424,"germany","bv","munich","2020-05-24","Schwabing-Freimann",48.15262,11.5846,"Apartment","Entire home/apt",2,"1",1,"$85.00",2,40,96,0,75.2,2256
"34",193463,"germany","bv","munich","2020-05-24","Maxvorstadt",48.15519,11.5715,"Apartment","Private room",1,"1",1,"$46.00",2,30,95,9,44.4285714285714,933
"35",193477,"germany","bv","munich","2020-05-24","Maxvorstadt",48.15617,11.56845,"Apartment","Private room",1,"1",1,"$36.00",2,4,96,2,37,1036
"36",194533,"germany","bv","munich","2020-05-24","Neuhausen-Nymphenburg",48.14822,11.5398,"Apartment","Entire home/apt",2,"1",1,"$120.00",1,3,95,28,120,240
"37",194638,"germany","bv","munich","2020-05-24","Schwabing-Freimann",48.17141,11.5944,"Apartment","Entire home/apt",3,"1",2,"$120.00",7,360,95,0,120,3600
"38",195293,"germany","bv","munich","2020-05-24","Schwabing-West",48.164,11.56706,"Condominium","Private room",2,"1",1,"$45.00",30,210,95,0,45,1350
"39",195371,"germany","bv","munich","2020-05-24","Feldmoching-Hasenbergl",48.19444,11.53349,"House","Private room",2,"1",2,"$29.00",2,360,91,25,29,145
"40",195388,"germany","bv","munich","2020-05-24","Ramersdorf-Perlach",48.10141,11.60523,"Townhouse","Entire home/apt",4,"1",2,"$75.00",2,7,98,29,75,75
"41",195444,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.12092,11.56138,"Apartment","Private room",3,"1",2,"$55.00",3,20,96,30,NA,0
"42",195452,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.1214,11.55984,"Apartment","Entire home/apt",5,"2",6,"$95.00",10,30,96,0,95,2850
"43",196127,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.13274,11.57445,"Apartment","Private room",2,"1",2,"$30.00",2,45,94,0,30,900
"44",196230,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12022,11.57653,"Apartment","Private room",2,"1",1,"$39.00",1,14,90,9,39,819
"45",196243,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12185,11.57651,"Apartment","Private room",2,"1",0,"$45.00",1,30,95,30,NA,0
"46",196265,"germany","bv","munich","2020-05-24","Au-Haidhausen",48.12106,11.57525,"Apartment","Entire home/apt",2,"1",1,"$66.00",6,90,95,0,75,2250
"47",197197,"germany","bv","munich","2020-05-24","Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln",48.08941,11.51371,"House","Private room",2,"1",1,"$48.00",2,30,93,0,57.0333333333333,1711
"48",197660,"germany","bv","munich","2020-05-24","Sendling-Westpark",48.11009,11.5307,"Apartment","Private room",2,"1",1,"$50.00",2,30,96,30,NA,0
"49",198942,"germany","bv","munich","2020-05-24","Berg am Laim",48.11929,11.64251,"Apartment","Private room",2,"1",1,"$48.00",2,93,94,30,NA,0
"50",198946,"germany","bv","munich","2020-05-24","Ramersdorf-Perlach",48.12325,11.60263,"Apartment","Entire home/apt",3,"1",2,"$65.00",2,90,91,23,75,525
"51",198990,"germany","bv","munich","2020-05-24","Neuhausen-Nymphenburg",48.16001,11.51108,"Apartment","Entire home/apt",1,"0",1,"$45.00",720,1125,96,0,50,1500
"52",199032,"germany","bv","munich","2020-05-24","Ludwigsvorstadt-Isarvorstadt",48.1271,11.57233,"Apartment","Entire home/apt",2,"1",1,"$90.00",185,1125,92,29,90,90
"53",199066,"germany","bv","munich","2020-05-24","Untergiesing-Harlaching",48.09099,11.55945,"Apartment","Private room",7,"2",6,"$60.00",1,10,98,12,65,1170
"54",199189,"germany","bv","munich","2020-05-24","Bogenhausen",48.15896,11.64821,"Apartment","Private room",1,"1",0,"$25.00",1,730,95,0,32,960
