"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",24398,"italy","campania","naples","2020-08-31","San Carlo all'Arena",40.85714,14.25763,"Entire apartment","Entire home/apt",4,"3",3,"$221.00",3,180,97,29,230,230
"2",30536,"italy","campania","naples","2020-08-31","San Lorenzo",40.85543,14.25812,"Private room in condominium","Private room",2,"1",0,"$36.00",2,30,94,29,35,35
"3",49051,"italy","campania","naples","2020-08-31","San Lorenzo",40.85156,14.26255,"Private room in bed and breakfast","Private room",2,"1",1,"$29.00",1,365,93,30,NA,0
"4",51629,"italy","campania","naples","2020-08-31","San Lorenzo",40.85308,14.26167,"Private room in bed and breakfast","Private room",2,"1",1,"$29.00",1,365,93,30,NA,0
"5",51630,"italy","campania","naples","2020-08-31","San Lorenzo",40.85326,14.26149,"Private room in bed and breakfast","Private room",2,"1",1,"$29.00",2,365,95,29,29,29
"6",51631,"italy","campania","naples","2020-08-31","San Lorenzo",40.85294,14.26303,"Private room in bed and breakfast","Private room",2,"1",1,"$29.00",1,365,92,30,NA,0
"7",51632,"italy","campania","naples","2020-08-31","San Lorenzo",40.8532,14.26311,"Private room in bed and breakfast","Private room",3,"1",3,"$29.00",1,730,96,30,NA,0
"8",63413,"italy","campania","naples","2020-08-31","Chiaia",40.83319,14.22613,"Entire apartment","Entire home/apt",2,"1",0,"$57.00",2,60,95,28,60,120
"9",74364,"italy","campania","naples","2020-08-31","San Lorenzo",40.8512,14.25217,"Entire apartment","Entire home/apt",2,"1",1,"$47.00",3,1125,98,11,41.3684210526316,786
"10",76993,"italy","campania","naples","2020-08-31","Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,"1",2,"$30.00",2,35,100,16,30,420
"11",77009,"italy","campania","naples","2020-08-31","Vomero",40.84568,14.22618,"Private room in apartment","Private room",2,"1",1,"$23.00",3,35,96,23,22.8571428571429,160
"12",77010,"italy","campania","naples","2020-08-31","Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,"1",2,"$23.00",3,35,94,24,22.8333333333333,137
"13",107336,"italy","campania","naples","2020-08-31","San Ferdinando",40.83992,14.24613,"Entire apartment","Entire home/apt",2,"1",1,"$43.00",2,30,96,0,44.5,1335
"14",112346,"italy","campania","naples","2020-08-31","San Lorenzo",40.854,14.26913,"Room in hotel","Hotel room",2,"1",2,"$40.00",1,730,75,29,40,40
"15",113520,"italy","campania","naples","2020-08-31","Mercato",40.84582,14.27526,"Entire apartment","Entire home/apt",4,"1",2,"$35.00",1,29,90,29,35,35
"16",129087,"italy","campania","naples","2020-08-31","San Carlo all'Arena",40.85876,14.26108,"Private room in bed and breakfast","Private room",2,"1",1,"$45.00",2,25,97,30,NA,0
"17",137587,"italy","campania","naples","2020-08-31","San Lorenzo",40.85361,14.25844,"Entire apartment","Entire home/apt",5,"3",3,"$69.00",3,30,99,30,NA,0
"18",157691,"italy","campania","naples","2020-08-31","Pendino",40.84997,14.26052,"Entire apartment","Entire home/apt",4,"1",0,"$31.00",2,30,93,12,28.7777777777778,518
"19",158928,"italy","campania","naples","2020-08-31","San Lorenzo",40.85392,14.25673,"Entire apartment","Entire home/apt",6,"3",3,"$90.00",1,730,83,23,90,630
"20",162072,"italy","campania","naples","2020-08-31","San Giuseppe",40.84816,14.25409,"Entire apartment","Entire home/apt",5,"1",2,"$60.00",2,180,88,30,NA,0
"21",163695,"italy","campania","naples","2020-08-31","San Giuseppe",40.84199,14.25234,"Private room in apartment","Private room",2,"1",2,"$30.00",3,60,87,28,30,60
"22",163929,"italy","campania","naples","2020-08-31","Porto",40.8402,14.25516,"Entire condominium","Entire home/apt",3,"1",3,"$72.00",1,365,96,29,72,72
"23",167940,"italy","campania","naples","2020-08-31","San Ferdinando",40.8361,14.24719,"Entire apartment","Entire home/apt",9,"3",8,"$90.00",2,90,94,5,90,2250
"24",169588,"italy","campania","naples","2020-08-31","San Giuseppe",40.84509,14.25026,"Entire condominium","Entire home/apt",6,"1",6,"$65.00",1,365,96,17,65,845
"25",170880,"italy","campania","naples","2020-08-31","San Carlo all'Arena",40.85848,14.26011,"Private room in bed and breakfast","Private room",2,"1",1,"$45.00",2,60,98,22,45,360
"26",171677,"italy","campania","naples","2020-08-31","San Carlo all'Arena",40.85862,14.25964,"Private room in bed and breakfast","Private room",2,"1",1,"$40.00",2,30,98,29,42,42
"27",176475,"italy","campania","naples","2020-08-31","Chiaia",40.83592,14.23648,"Entire apartment","Entire home/apt",8,"3",6,"$143.00",1,31,94,0,141,4230
"28",183077,"italy","campania","naples","2020-08-31","Montecalvario",40.84626,14.24337,"Entire apartment","Entire home/apt",4,"2",NA,"$120.00",3,365,100,30,NA,0
"29",185205,"italy","campania","naples","2020-08-31","San Lorenzo",40.85576,14.26332,"Private room in bed and breakfast","Private room",2,"1",1,"$50.00",1,10,95,0,50,1500
"30",191679,"italy","campania","naples","2020-08-31","Chiaia",40.83486,14.22451,"Entire apartment","Entire home/apt",5,"1",1,"$40.00",2,1825,90,19,45.3636363636364,499
"31",191818,"italy","campania","naples","2020-08-31","Chiaia",40.83694,14.23259,"Private room in bed and breakfast","Private room",3,"1",1,"$30.00",1,730,95,29,30,30
"32",192478,"italy","campania","naples","2020-08-31","Pendino",40.84735,14.25829,"Entire apartment","Entire home/apt",4,"2",2,"$20.00",5,69,85,0,20.0333333333333,601
"33",194760,"italy","campania","naples","2020-08-31","San Giuseppe",40.84756,14.25102,"Entire apartment","Entire home/apt",6,"2",4,"$61.00",1,365,90,29,59,59
"34",198292,"italy","campania","naples","2020-08-31","Montecalvario",40.84711,14.24356,"Private room in apartment","Private room",2,"1",1,"$42.00",1,365,94,30,NA,0
"35",199327,"italy","campania","naples","2020-08-31","San Ferdinando",40.83566,14.2463,"Entire apartment","Entire home/apt",4,"1",2,"$61.00",3,1125,84,30,NA,0
"36",203130,"italy","campania","naples","2020-08-31","Vomero",40.84419,14.24058,"Entire apartment","Entire home/apt",4,"1",3,"$130.00",3,365,93,30,NA,0
"37",204618,"italy","campania","naples","2020-08-31","San Ferdinando",40.8369,14.24595,"Entire house","Entire home/apt",3,"1",2,"$20.00",2,15,92,6,18.25,438
"38",209277,"italy","campania","naples","2020-08-31","San Giuseppe",40.84587,14.25115,"Entire apartment","Entire home/apt",7,"2",4,"$60.00",1,730,94,30,NA,0
"39",209278,"italy","campania","naples","2020-08-31","San Giuseppe",40.84586,14.25112,"Entire apartment","Entire home/apt",5,"1",3,"$50.00",1,730,95,27,50,150
"40",210551,"italy","campania","naples","2020-08-31","San Ferdinando",40.83082,14.24928,"Entire condominium","Entire home/apt",5,"1",5,"$83.00",1,365,85,28,82,164
"41",212791,"italy","campania","naples","2020-08-31","San Giuseppe",40.84877,14.25412,"Private room in bed and breakfast","Private room",2,"1",0,"$53.00",1,30,NA,29,53,53
"42",212824,"italy","campania","naples","2020-08-31","San Lorenzo",40.85072,14.2539,"Private room in bed and breakfast","Private room",2,"1",4,"$100.00",2,30,87,29,100,100
"43",213835,"italy","campania","naples","2020-08-31","San Lorenzo",40.85471,14.26114,"Private room in bed and breakfast","Private room",3,"1",2,"$50.00",1,10,95,14,50,800
"44",215400,"italy","campania","naples","2020-08-31","San Giuseppe",40.84797,14.25014,"Private room in bed and breakfast","Private room",4,"1",1,"$135.00",2,30,NA,30,NA,0
"45",216439,"italy","campania","naples","2020-08-31","San Ferdinando",40.83736,14.24489,"Entire apartment","Entire home/apt",5,"2",3,"$55.00",2,365,100,30,NA,0
"46",219847,"italy","campania","naples","2020-08-31","Chiaia",40.83284,14.22102,"Entire apartment","Entire home/apt",2,"1",2,"$65.00",3,60,88,29,65,65
"47",221739,"italy","campania","naples","2020-08-31","San Lorenzo",40.85488,14.26221,"Private room in apartment","Private room",2,"1",1,"$30.00",2,7,98,0,30,900
"48",228404,"italy","campania","naples","2020-08-31","San Giuseppe",40.84725,14.25132,"Entire apartment","Entire home/apt",8,"3",5,"$250.00",2,30,95,30,NA,0
"49",237997,"italy","campania","naples","2020-08-31","San Giuseppe",40.848,14.25444,"Private room in bed and breakfast","Private room",2,"1",0,"$58.00",1,60,NA,29,58,58
"50",240293,"italy","campania","naples","2020-08-31","Soccavo",40.85243,14.18925,"Room in bed and breakfast","Hotel room",4,"1",3,"$75.00",1,365,94,29,75,75
"51",248199,"italy","campania","naples","2020-08-31","Avvocata",40.85253,14.24008,"Private room in bed and breakfast","Private room",2,"1",1,"$34.00",3,760,97,0,35,1050
"52",250763,"italy","campania","naples","2020-08-31","Chiaia",40.83195,14.22113,"Private room in bed and breakfast","Private room",2,"1",2,"$74.00",1,365,83,30,NA,0
"53",251610,"italy","campania","naples","2020-08-31","Avvocata",40.85274,14.24012,"Private room in bed and breakfast","Private room",3,"1",3,"$34.00",2,90,93,0,35,1050
"54",254445,"italy","campania","naples","2020-08-31","Avvocata",40.85393,14.23786,"Room in bed and breakfast","Hotel room",2,"1",2,"$45.00",1,365,89,0,45,1350
"55",260759,"italy","campania","naples","2020-08-31","San Ferdinando",40.8383,14.24422,"Entire apartment","Entire home/apt",6,"3",3,"$100.00",1,365,93,0,100,3000
"56",264932,"italy","campania","naples","2020-08-31","Porto",40.84083,14.25534,"Room in bed and breakfast","Hotel room",2,"1",1,"$56.00",1,760,80,22,55.625,445
"57",269194,"italy","campania","naples","2020-08-31","Chiaia",40.83628,14.23723,"Entire apartment","Entire home/apt",4,"2",3,"$150.00",1,760,78,13,150,2550
"58",276925,"italy","campania","naples","2020-08-31","Pendino",40.85194,14.26588,"Shared room in hostel","Shared room",6,"1",6,"$16.00",1,28,86,30,NA,0
"59",277097,"italy","campania","naples","2020-08-31","San Giuseppe",40.84624,14.25033,"Room in bed and breakfast","Hotel room",3,"1",2,"$58.00",1,365,90,30,NA,0
"60",282618,"italy","campania","naples","2020-08-31","San Carlo all'Arena",40.85799,14.2552,"Entire apartment","Entire home/apt",6,"1",4,"$34.00",2,1125,91,25,34,170
"61",296874,"italy","campania","naples","2020-08-31","Stella",40.85993,14.24994,"Private room in bed and breakfast","Private room",10,"1",NA,"$63.00",1,30,NA,29,63,63
"62",301476,"italy","campania","naples","2020-08-31","Arenella",40.86112,14.2215,"Entire apartment","Entire home/apt",6,"2",5,"$50.00",1,21,94,14,50,800
"63",304001,"italy","campania","naples","2020-08-31","Pendino",40.85084,14.25984,"Entire loft","Entire home/apt",4,"1",2,"$48.00",2,1125,95,21,57.7777777777778,520
"64",310815,"italy","campania","naples","2020-08-31","Pendino",40.85127,14.25854,"Entire apartment","Entire home/apt",2,"1",1,"$29.00",4,1125,95,21,29.1111111111111,262
"65",313583,"italy","campania","naples","2020-08-31","San Ferdinando",40.8313,14.24649,"Private room in apartment","Private room",2,"1",1,"$65.00",1,30,NA,26,65,260
"66",313850,"italy","campania","naples","2020-08-31","Mercato",40.85027,14.2694,"Entire apartment","Entire home/apt",5,"2",3,"$52.00",5,28,94,29,52,52
