"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",6623,"italy","veneto","venice","2020-06-12","San Polo",45.43823,12.32902,"Apartment","Entire home/apt",4,"2",4,"$225.00",7,365,99,29,225,225
"2",6624,"italy","veneto","venice","2020-06-12","San Polo",45.43845,12.32869,"Apartment","Entire home/apt",6,"2",6,"$272.00",7,50,100,29,250,250
"3",12074,"italy","veneto","venice","2020-06-12","San Polo",45.43827,12.32764,"Apartment","Entire home/apt",4,"2",4,"$122.00",4,28,99,0,122,3660
"4",27116,"italy","veneto","venice","2020-06-12","San Marco",45.43221,12.33411,"Bed and breakfast","Private room",4,"1",2,"$190.00",1,1125,96,29,200,200
"5",33934,"italy","veneto","venice","2020-06-12","Cannaregio",45.4448,12.33121,"Apartment","Entire home/apt",4,"1",1,"$103.00",2,30,81,29,109,109
"6",44527,"italy","veneto","venice","2020-06-12","Cannaregio",45.44754,12.32918,"Apartment","Entire home/apt",6,"3",3,"$300.00",2,365,96,30,NA,0
"7",44998,"italy","veneto","venice","2020-06-12","Castello",45.43854,12.34959,"Apartment","Entire home/apt",6,"2",4,"$200.00",5,10,60,27,260,780
"8",45036,"italy","veneto","venice","2020-06-12","San Polo",45.43723,12.32451,"Apartment","Entire home/apt",2,"1",1,"$120.00",1,1,78,29,70,70
"9",46054,"italy","veneto","venice","2020-06-12","San Marco",45.43439,12.33509,"Apartment","Entire home/apt",6,"2",2,"$400.00",1,1,81,28,280,560
"10",46158,"italy","veneto","venice","2020-06-12","San Marco",45.43468,12.33613,"Apartment","Entire home/apt",2,"1",1,"$200.00",1,1,73,29,87,87
"11",46171,"italy","veneto","venice","2020-06-12","Cannaregio",45.44185,12.33355,"Apartment","Entire home/apt",2,"1",1,"$200.00",3,10,78,29,150,150
"12",47383,"italy","veneto","venice","2020-06-12","San Polo",45.43846,12.33235,"Bed and breakfast","Hotel room",2,"1",1,"$102.00",2,365,98,28,94,188
"13",47549,"italy","veneto","venice","2020-06-12","Dorsoduro",45.43593,12.32521,"Apartment","Entire home/apt",5,"3",3,"$136.00",2,365,96,0,185.2,5556
"14",49656,"italy","veneto","venice","2020-06-12","Dorsoduro",45.43549,12.32612,"Apartment","Entire home/apt",3,"2",2,"$90.00",3,31,96,24,110,660
"15",51847,"italy","veneto","venice","2020-06-12","Castello",45.43546,12.34636,"Apartment","Entire home/apt",3,"1",2,"$130.00",1,1,90,29,150,150
"16",55968,"italy","veneto","venice","2020-06-12","Castello",45.43609,12.34786,"Apartment","Entire home/apt",2,"1",1,"$100.00",3,365,93,0,100,3000
"17",56687,"italy","veneto","venice","2020-06-12","Cannaregio",45.44525,12.33166,"Apartment","Entire home/apt",6,"2",6,"$150.00",3,30,96,29,150,150
"18",60007,"italy","veneto","venice","2020-06-12","San Marco",45.43302,12.332,"Apartment","Entire home/apt",4,"2",3,"$150.00",2,30,94,0,150,4500
"19",60020,"italy","veneto","venice","2020-06-12","Santa Croce",45.44059,12.32952,"Bed and breakfast","Hotel room",2,"1",1,"$80.00",2,29,82,30,NA,0
"20",60304,"italy","veneto","venice","2020-06-12","Cannaregio",45.44334,12.33483,"Bed and breakfast","Private room",2,"1",1,"$90.00",1,1000,98,30,NA,0
"21",61714,"italy","veneto","venice","2020-06-12","Giudecca",45.42708,12.31823,"Bed and breakfast","Private room",2,"1",1,"$73.00",2,730,98,30,NA,0
"22",63267,"italy","veneto","venice","2020-06-12","Castello",45.43886,12.3499,"Apartment","Entire home/apt",3,"1",1,"$110.00",3,20,100,29,110,110
"23",65926,"italy","veneto","venice","2020-06-12","Dorsoduro",45.43108,12.32593,"Apartment","Entire home/apt",5,"3",4,"$145.00",2,300,94,27,150,450
"24",69375,"italy","veneto","venice","2020-06-12","Cannaregio",45.44555,12.32155,"Apartment","Entire home/apt",4,"1",4,"$130.00",3,45,95,27,130,390
"25",69877,"italy","veneto","venice","2020-06-12","Dorsoduro",45.4338,12.32574,"Bed and breakfast","Private room",3,"1",2,"$126.00",2,8,87,0,126,3780
"26",71460,"italy","veneto","venice","2020-06-12","San Lorenzo XXV Aprile",45.49249,12.24348,"Bed and breakfast","Private room",2,"1",1,"$49.00",2,4,89,0,49,1470
"27",71735,"italy","veneto","venice","2020-06-12","San Marco",45.43482,12.33648,"Apartment","Entire home/apt",4,"1",2,"$120.00",3,29,89,0,100,3000
"28",71870,"italy","veneto","venice","2020-06-12","Castello",45.42978,12.35715,"House","Entire home/apt",4,"2",4,"$90.00",3,365,93,29,80,80
"29",71874,"italy","veneto","venice","2020-06-12","Santa Croce",45.44001,12.32552,"Bed and breakfast","Private room",3,"1",1,"$120.00",1,14,81,30,NA,0
"30",72000,"italy","veneto","venice","2020-06-12","Castello",45.43006,12.35652,"House","Private room",1,"1",1,"$60.00",2,5,92,13,80,1360
"31",72740,"italy","veneto","venice","2020-06-12","Favaro",45.507,12.28175,"Apartment","Entire home/apt",2,"1",1,"$45.00",2,31,96,29,64,64
"32",74042,"italy","veneto","venice","2020-06-12","Castello",45.43369,12.35051,"Apartment","Entire home/apt",4,"1",1,"$69.00",1,1125,96,29,129,129
"33",74272,"italy","veneto","venice","2020-06-12","Castello",45.43476,12.34999,"Apartment","Entire home/apt",3,"1",1,"$57.00",3,60,94,30,NA,0
"34",74873,"italy","veneto","venice","2020-06-12","Cannaregio",45.44699,12.33227,"Apartment","Entire home/apt",7,"2",2,"$145.00",3,30,96,29,241,241
"35",75376,"italy","veneto","venice","2020-06-12","San Marco",45.43517,12.33554,"Apartment","Entire home/apt",4,"2",3,"$120.00",3,365,92,25,400,2000
"36",75760,"italy","veneto","venice","2020-06-12","Castello",45.43079,12.35641,"Apartment","Entire home/apt",4,"1",3,"$100.00",7,30,94,23,100,700
"37",75994,"italy","veneto","venice","2020-06-12","San Marco",45.43746,12.337,"Apartment","Entire home/apt",4,"2",2,"$110.00",3,365,90,29,150,150
"38",77188,"italy","veneto","venice","2020-06-12","Castello",45.43385,12.34786,"Apartment","Entire home/apt",4,"1",2,"$111.00",3,60,98,30,NA,0
"39",77598,"italy","veneto","venice","2020-06-12","Dorsoduro",45.43103,12.31997,"Apartment","Entire home/apt",6,"2",0,"$110.00",3,730,93,30,NA,0
"40",78706,"italy","veneto","venice","2020-06-12","Cannaregio",45.44648,12.33248,"Loft","Entire home/apt",5,"1",4,"$135.00",3,30,97,27,248,744
"41",78833,"italy","veneto","venice","2020-06-12","Cannaregio",45.44648,12.33187,"Loft","Entire home/apt",4,"1",4,"$140.00",3,30,97,22,171,1368
"42",79038,"italy","veneto","venice","2020-06-12","Favaro",45.50878,12.2815,"Bed and breakfast","Private room",2,"1",1,"$30.00",1,365,91,29,30,30
"43",80403,"italy","veneto","venice","2020-06-12","Dorsoduro",45.43286,12.32043,"Apartment","Entire home/apt",4,"1",0,"$115.00",3,90,95,29,114,114
"44",83368,"italy","veneto","venice","2020-06-12","San Polo",45.43678,12.32752,"Condominium","Entire home/apt",6,"3",4,"$200.00",2,730,98,0,200,6000
